Date,Open,High,Low,Close ,Adj Close ,Volume
17-Jul-23,100.72,101.67,100.22,101.38,95.5,"18,051,300"
14-Jul-23,104.05,104.05,100.53,100.94,95.09,"28,165,400"
13-Jul-23,105.97,106.23,103.32,104.54,98.48,"26,826,800"
12-Jul-23,107,107.65,106.13,106.49,100.32,"13,238,200"
11-Jul-23,105.26,106.16,104.81,105.97,99.83,"12,581,100"
10-Jul-23,102.97,104.75,102.75,104.69,98.62,"14,877,600"
7-Jul-23,101.92,104,101.56,103.16,97.18,"21,926,600"
6-Jul-23,105.09,105.72,102.43,102.92,96.95,"17,961,400"
5-Jul-23,107.63,107.92,106.1,106.91,100.71,"12,491,200"
3-Jul-23,107.49,108.46,107.07,107.46,101.23,"7,397,000"
30-Jun-23,107.32,107.88,106.81,107.25,101.03,"13,542,700"
29-Jun-23,105.66,106.73,105.13,106.7,100.51,"11,364,400"
28-Jun-23,104.31,105.82,103.2,105.4,99.29,"13,084,100"
27-Jun-23,104.05,104.61,103.27,104.55,98.49,"13,227,500"
26-Jun-23,102.2,104.91,102.2,104.29,98.24,"14,283,400"
23-Jun-23,102.59,102.82,101.62,102.4,96.46,"17,933,600"
22-Jun-23,102.84,103.89,102.65,103.3,97.31,"12,455,300"
21-Jun-23,102.5,104.63,102.33,103.87,97.85,"13,285,700"
20-Jun-23,104.68,104.77,102.12,102.72,96.77,"17,514,100"
16-Jun-23,106.36,106.77,104.96,105.13,99.04,"43,124,000"
15-Jun-23,105.5,107.03,105.44,105.89,99.75,"16,224,100"
14-Jun-23,107.45,108.11,104.39,105.16,99.06,"16,627,700"
13-Jun-23,107.38,108.34,106.28,106.44,100.27,"13,533,800"
12-Jun-23,105.81,107.06,105.56,106.42,100.25,"14,112,000"
9-Jun-23,108.46,108.61,107.16,107.39,101.16,"12,251,600"
8-Jun-23,108.77,109.14,105.9,108.19,101.92,"13,517,100"
7-Jun-23,106.79,108.89,106.73,108.53,102.24,"16,027,100"
6-Jun-23,104.15,106.27,103.98,106.15,100,"12,209,800"
5-Jun-23,107.19,107.19,105.09,105.29,99.19,"10,628,000"
2-Jun-23,105.16,106.13,104.53,105.76,99.63,"14,110,300"
1-Jun-23,101.75,105.58,101.26,103.36,97.37,"13,551,900"
31-May-23,102.29,103.04,101.74,102.18,96.26,"24,926,100"
30-May-23,103.29,104.12,102.61,104.04,98.01,"11,938,000"
26-May-23,106.47,106.95,104.83,104.97,98.89,"12,370,300"
25-May-23,105.94,106.43,104.71,105.66,99.54,"14,316,500"
24-May-23,107.38,108.51,106.73,107.59,101.35,"16,340,300"
23-May-23,105.99,108.22,105.75,106.4,100.23,"14,394,400"
22-May-23,105.84,107.04,104.88,104.97,98.89,"12,882,000"
19-May-23,106.57,107.05,105.82,106.26,100.1,"13,357,700"
18-May-23,104.55,105.91,104.13,105.77,99.64,"12,005,600"
17-May-23,103.39,105.23,102.85,104.82,98.74,"14,064,700"
16-May-23,104.63,104.81,102.02,102.52,96.58,"14,795,200"
15-May-23,105.51,105.93,104.58,105.07,98.98,"13,715,600"
12-May-23,106.31,107.01,104.78,105.78,98.79,"12,608,300"
11-May-23,106.49,106.82,104.93,105.79,98.8,"17,165,900"
10-May-23,109.74,110.01,106.71,107.74,100.62,"14,884,800"
9-May-23,108.34,110.23,108.21,109.14,101.93,"11,370,800"
8-May-23,110.5,110.97,109.04,109.11,101.9,"11,187,800"
5-May-23,108.55,109.43,107.53,108.68,101.5,"14,964,700"
4-May-23,107.9,108.75,105.91,106.04,99.03,"17,177,200"
3-May-23,109.08,109.81,107.76,107.93,100.8,"16,212,300"
