Date,Close/Last,Volume,Open,High,Low,,,,,,,,,
7/13/22,$137.99 ,9414621,$137.61 ,$140.73 ,$137.14 ,,,,,,,,,
7/12/22,$138.92 ,8653904,$138.50 ,$139.62 ,$137.26 ,,,,,,,,,
7/11/22,$141.51 ,7058086,$141.91 ,$142.85 ,$139.93 ,,,,,,,,,
7/8/22,$142.77 ,7915513,$144.88 ,$145.45 ,$141.09 ,,,,,,,,,
7/7/22,$143.52 ,12741790,$144.10 ,$145.30 ,$143.08 ,,,,,,,,,
7/6/22,$140.78 ,12421180,$141.66 ,$143.26 ,$136.80 ,,,,,,,,,
7/5/22,$142.66 ,11518340,$143.65 ,$144.54 ,$139.41 ,,,,,,,,,
7/1/22,$146.51 ,7684648,$146.60 ,$146.96 ,$142.47 ,,,,,,,,,
6/30/22,$144.78 ,10684990,$144.55 ,$147.92 ,$143.41 ,,,,,,,,,
6/29/22,$146.98 ,9082908,$151.63 ,$152.11 ,$146.09 ,,,,,,,,,
6/28/22,$149.94 ,9188157,$150.88 ,$152.19 ,$148.11 ,,,,,,,,,
6/27/22,$147.57 ,9242394,$145.86 ,$148.82 ,$145.60 ,,,,,,,,,
6/24/22,$144.77 ,11108280,$145.20 ,$147.09 ,$142.60 ,,,,,,,,,
6/23/22,$142.43 ,15713650,$148.79 ,$149.23 ,$140.15 ,,,,,,,,,
6/22/22,$147.87 ,13746270,$148.07 ,$150.80 ,$146.33 ,,,,,,,,,
6/21/22,$154.59 ,13771960,$152.05 ,$156.02 ,$151.44 ,,,,,,,,,
6/17/22,$148.38 ,35575070,$154.88 ,$155.47 ,$145.79 ,,,,,,,,,
6/16/22,$155.48 ,18125950,$159.94 ,$160.54 ,$153.75 ,,,,,,,,,
6/15/22,$164.26 ,11565260,$166.78 ,$167.85 ,$161.94 ,,,,,,,,,
6/14/22,$167.55 ,10269310,$169.37 ,$172.29 ,$165.84 ,,,,,,,,,
6/13/22,$167.33 ,14614910,$171.61 ,$172.00 ,$164.06 ,,,,,,,,,
6/10/22,$175.40 ,9531887,$176.37 ,$178.57 ,$173.65 ,,,,,,,,,
6/9/22,$177.52 ,9767334,$180.03 ,$180.64 ,$177.39 ,,,,,,,,,
6/8/22,$181.13 ,8715219,$180.95 ,$182.40 ,$180.25 ,,,,,,,,,
6/7/22,$180.20 ,9668277,$177.47 ,$180.66 ,$176.92 ,,,,,,,,,
6/6/22,$176.83 ,6734222,$177.90 ,$178.00 ,$175.51 ,,,,,,,,,
6/3/22,$177.60 ,8435276,$176.00 ,$178.25 ,$176.00 ,,,,,,,,,
6/2/22,$176.00 ,7441942,$174.74 ,$176.51 ,$174.10 ,,,,,,,,,
6/1/22,$176.32 ,8824083,$176.73 ,$178.13 ,$174.94 ,,,,,,,,,
5/31/22,$174.66 ,20547570,$179.96 ,$180.96 ,$173.47 ,,,,,,,,,
5/27/22,$178.28 ,10512290,$176.52 ,$178.35 ,$175.69 ,,,,,,,,,
5/26/22,$176.59 ,11213900,$176.49 ,$177.93 ,$175.01 ,,,,,,,,,
5/25/22,$175.41 ,10174490,$173.14 ,$175.99 ,$172.97 ,,,,,,,,,
5/24/22,$172.64 ,9782746,$170.69 ,$173.58 ,$169.81 ,,,,,,,,,
5/23/22,$171.72 ,10216370,$169.43 ,$172.96 ,$169.11 ,,,,,,,,,
5/20/22,$167.82 ,9615014,$168.88 ,$171.04 ,$164.09 ,,,,,,,,,
5/19/22,$166.86 ,10958660,$164.63 ,$169.64 ,$162.83 ,,,,,,,,,
5/18/22,$168.06 ,13107480,$174.12 ,$174.13 ,$165.79 ,,,,,,,,,
5/17/22,$174.03 ,12827570,$174.84 ,$175.65 ,$172.61 ,,,,,,,,,
5/16/22,$173.01 ,13296290,$169.00 ,$174.97 ,$168.86 ,,,,,,,,,
5/13/22,$167.87 ,9229903,$166.50 ,$168.79 ,$164.88 ,,,,,,,,,
5/12/22,$164.71 ,8936447,$163.22 ,$164.85 ,$158.86 ,,,,,,,,,
5/11/22,$163.16 ,9105510,$163.58 ,$167.46 ,$162.51 ,,,,,,,,,
5/10/22,$160.78 ,11635990,$162.21 ,$164.19 ,$157.87 ,,,,,,,,,
5/9/22,$159.25 ,14110670,$167.75 ,$167.75 ,$158.48 ,,,,,,,,,
5/6/22,$170.69 ,10418070,$168.27 ,$170.97 ,$165.42 ,,,,,,,,,
5/5/22,$166.26 ,9807618,$169.26 ,$169.50 ,$162.65 ,,,,,,,,,
5/4/22,$167.59 ,9183248,$164.97 ,$167.89 ,$163.47 ,,,,,,,,,
5/3/22,$162.49 ,8827214,$159.57 ,$163.43 ,$159.26 ,,,,,,,,,
5/2/22,$159.75 ,11559040,$156.31 ,$160.00 ,$155.15 ,,,,,,,,,
4/29/22,$156.67 ,14713220,$161.28 ,$162.44 ,$156.29 ,,,,,,,,,
4/28/22,$161.79 ,9366444,$157.45 ,$163.00 ,$154.93 ,,,,,,,,,
4/27/22,$156.24 ,10396640,$157.08 ,$157.92 ,$154.52 ,,,,,,,,,
4/26/22,$156.53 ,9810595,$158.82 ,$160.37 ,$156.39 ,,,,,,,,,
4/25/22,$157.49 ,15449850,$155.73 ,$158.36 ,$151.36 ,,,,,,,,,
4/22/22,$160.95 ,12160120,$164.38 ,$165.47 ,$160.86 ,,,,,,,,,
4/21/22,$164.58 ,14594790,$171.74 ,$172.44 ,$163.83 ,,,,,,,,,
4/20/22,$172.53 ,7494950,$171.62 ,$173.58 ,$171.46 ,,,,,,,,,
4/19/22,$171.83 ,6970194,$173.08 ,$173.69 ,$171.03 ,,,,,,,,,
4/18/22,$173.89 ,7639045,$173.00 ,$174.54 ,$171.87 ,,,,,,,,,
4/14/22,$171.59 ,9421052,$170.69 ,$172.94 ,$170.56 ,,,,,,,,,
4/13/22,$171.67 ,7330690,$170.93 ,$172.08 ,$168.29 ,,,,,,,,,
4/12/22,$169.01 ,9528372,$168.97 ,$172.68 ,$168.15 ,,,,,,,,,
4/11/22,$165.56 ,10206070,$168.57 ,$168.78 ,$164.91 ,,,,,,,,,
4/8/22,$169.93 ,10801180,$167.05 ,$171.10 ,$167.02 ,,,,,,,,,
4/7/22,$167.10 ,8018385,$165.10 ,$167.70 ,$163.42 ,,,,,,,,,
4/6/22,$164.81 ,9268988,$164.83 ,$167.01 ,$164.33 ,,,,,,,,,
4/5/22,$163.36 ,9538219,$165.03 ,$167.72 ,$163.10 ,,,,,,,,,
4/4/22,$164.37 ,8723834,$165.00 ,$165.45 ,$163.00 ,,,,,,,,,
4/1/22,$164.22 ,8795255,$162.78 ,$165.95 ,$162.33 ,,,,,,,,,
3/31/22,$162.83 ,10395920,$163.47 ,$166.16 ,$162.72 ,,,,,,,,,
3/30/22,$165.48 ,9905997,$165.24 ,$166.35 ,$163.66 ,,,,,,,,,
3/29/22,$164.32 ,15102590,$163.51 ,$164.48 ,$160.50 ,,,,,,,,,
3/28/22,$166.35 ,9992000,$165.90 ,$166.63 ,$165.13 ,,,,,,,,,
3/25/22,$169.31 ,10258280,$165.22 ,$169.69 ,$165.16 ,,,,,,,,,
3/24/22,$166.30 ,9024821,$166.43 ,$167.40 ,$165.00 ,,,,,,,,,
3/23/22,$165.86 ,10755000,$166.00 ,$167.35 ,$164.94 ,,,,,,,,,
3/22/22,$164.09 ,11063910,$163.69 ,$165.26 ,$162.58 ,,,,,,,,,
3/21/22,$164.64 ,13180560,$163.02 ,$165.58 ,$162.72 ,,,,,,,,,
3/18/22,$161.73 ,23214730,$160.89 ,$161.73 ,$158.78 ,,,,,,,,,
3/17/22,$160.44 ,15750670,$159.95 ,$160.99 ,$157.92 ,,,,,,,,,
3/16/22,$157.71 ,22299740,$158.79 ,$160.50 ,$156.21 ,,,,,,,,,
3/15/22,$158.28 ,28534400,$159.11 ,$160.19 ,$155.26 ,,,,,,,,,
3/14/22,$166.72 ,25156190,$166.21 ,$168.35 ,$164.30 ,,,,,,,,,
3/11/22,$170.90 ,28423560,$165.89 ,$172.98 ,$165.88 ,,,,,,,,,
3/10/22,$170.82 ,34913610,$168.74 ,$174.76 ,$168.29 ,,,,,,,,,
3/9/22,$166.27 ,43429990,$162.77 ,$169.77 ,$161.21 ,,,,,,,,,
3/8/22,$170.53 ,57231030,$164.31 ,$174.00 ,$164.10 ,,,,,,,,,
3/7/22,$162.04 ,34824670,$159.90 ,$162.10 ,$155.72 ,,,,,,,,,
3/4/22,$158.65 ,29053440,$155.79 ,$159.95 ,$155.09 ,,,,,,,,,
3/3/22,$156.22 ,22492890,$152.26 ,$157.12 ,$151.75 ,,,,,,,,,
3/2/22,$154.14 ,31329540,$150.20 ,$155.75 ,$150.05 ,,,,,,,,,
3/1/22,$149.72 ,31159890,$145.01 ,$149.96 ,$144.70 ,,,,,,,,,
2/28/22,$144.00 ,24394290,$139.27 ,$144.00 ,$138.65 ,,,,,,,,,
2/25/22,$140.38 ,28028030,$135.96 ,$140.50 ,$135.43 ,,,,,,,,,
2/24/22,$134.85 ,22108910,$137.93 ,$138.23 ,$131.72 ,,,,,,,,,
2/23/22,$135.55 ,16134240,$132.93 ,$136.08 ,$132.56 ,,,,,,,,,
2/22/22,$132.40 ,19428740,$137.00 ,$137.00 ,$130.52 ,,,,,,,,,
